data;typ;tytul;zwyciezca;nip;link_pdf
2026-06-29;ZAMOWIENIE;WYKONANIE PILNYCH ROBÓT BUDOWLANYCH BRANŻY OGÓLNOBUDOWLANEJ, DEKARSKIEJ, ELEKTRYCZNEJ I INSTALACYJNEJ W BUDYNKACH I LOKALACH STANOWIĄCYCH WŁASNOŚĆ GMINY MIASTO LĘBORK;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-13d97b0d-965b-4f04-81bc-ba7c251494b7
2026-06-29;ZAMOWIENIE;„Termomodernizacja wraz z rozbudową budynku Ochotniczej Straży Pożarnej w Czarnowie”(3);;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-43dbbe4d-9e0b-4e51-ae02-ad8cc3abb0ef
2026-06-29;ZAMOWIENIE;BUDOWA WIATY MAGAZYNOWEJ WRAZ Z UTWARDZENIEM PLACU MANEWROWEGO W MIEJSCOWOŚCI OLESNO;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-49c68d54-4cea-4d00-87dc-f1ec4e831819
2026-06-29;ZAMOWIENIE;Innowacyjne rozwiązania OZE dla WIKM Sp. z o.o. polegające na budowie instalacji fotowoltaicznej z magazynem energii oraz gruntowej pompy ciepła;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-d93fbeb9-3e8f-49c5-9dab-2609063ff228
2026-06-29;ZAMOWIENIE;Przebudowa Sali przy Zespole Szkół w Goleniowach;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-6ab424d9-0fdd-4b77-b48b-41f60ef3dd75
2026-07-02;ZAMOWIENIE;Remont ogrodzenia na terenie drogowego przejścia granicznego Połowce - Pieszczatka;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-a11503d2-77b3-4c69-b055-a8864fbf0be2
2026-07-02;ZAMOWIENIE;Dostawa urządzenia do magazynowania energii na sprężone powietrze dla Wydziału Inżynierii Mechanicznej i Okrętownictwa Politechniki Gdańskiej;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-5646354b-79b1-4915-bc82-d97fa6233f48
2026-07-02;ZAMOWIENIE;Roboty remontowe w Domu Studenta nr 6 przy ul. Radomskiej 11 w Warszawie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-9c8b4956-a7c5-48c2-8dfd-cb10592c1557
2026-07-02;ZAMOWIENIE;Budowa magazynu OLiOC w Gminie Kornowac;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-26dfcdf1-5783-413a-81c8-b507bd49bb1a
2026-07-03;ZAMOWIENIE;„Modernizacja magazynu ZZM przy ulicy Kościuszki 138 w Katowicach”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-e1439864-f5bd-4d54-bed5-366d850d41a5
2026-07-03;ZAMOWIENIE;„Poprawa zabezpieczenia logistycznego na terenie gminy Prostki poprzez zapewnienie ciągłości dostaw zasobów ochrony ludności - Budowa budynku magazynowego  w miejscowości Bobry”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-489dd3c5-c3b7-4714-9a3b-e4546efbf818
2026-07-03;ZAMOWIENIE;Budowa mikroinstalacji fotowoltaicznej oraz modernizacja kotłowni gazowej w Szkole Podstawowej w Tomicach w ramach projektu „Termomodernizacja budynku Szkoły Podstawowej w Tomicach”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-1eb17f60-60a3-4b25-b48e-cbdcddfe0bd1
2026-07-03;ZAMOWIENIE;Modernizacja elewacji budynku Szkoły Podstawowej w Dukli przy ul. Kościuszki;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-b79bdc76-019b-4ab2-9e8b-29da1dc64295
2026-07-03;ZAMOWIENIE;Roboty budowlane w budynku Urzędu Skarbowego w Chełmnie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-601052a9-7a92-4810-b19f-26d61bfdaec5
2026-07-04;ZAMOWIENIE;„Remont południowej części dachu wraz z montażem instalacji PV na dachu budynku A22 – Wydziału Mechanicznego Politechniki Łódzkiej w formule zaprojektuj i wybuduj”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-ce2eb80d-004a-4846-84df-6edebd6379fc
